change-speed,kilometer,price,shangpai-date,standard,title
0,13.04,8.5,8.083333333333334,4,17
0,2.19,6.38,2.0833333333333335,6,28
0,7.55,19.8,6.25,5,14
1,2.02,1.8,7.083333333333333,4,42
0,7.92,3.68,4.666666666666667,5,11
0,4.73,7.58,3.6666666666666665,5,28
0,5.44,8.68,4.416666666666667,5,7
0,9.8,16.5,8.333333333333334,4,14
0,14.38,31.0,9.25,4,5
0,10.01,5.5,7.166666666666667,4,17
0,3.97,4.7,3.5,5,23
0,1.7,12.08,1.25,6,41
0,37.97,37.5,1.0,4,57
0,5.83,29.0,4.25,5,14
0,5.16,5.5,8.5,5,17
0,3.64,20.29,2.6666666666666665,5,49
1,8.16,6.0,5.083333333333333,5,23
0,5.09,18.6,5.583333333333333,5,57
1,10.93,9.0,3.75,5,38
0,19.02,15.0,9.0,4,57
1,5.0,2.0,4.666666666666667,5,3
0,10.96,3.3,8.083333333333334,4,58
0,19.22,16.5,5.333333333333333,5,1
0,24.56,3.0,1.0,4,36
0,2.63,11.88,3.0833333333333335,5,4
1,2.67,2.8,3.0,5,42
0,10.92,6.7,4.083333333333333,5,42
1,5.01,3.7,2.5,6,3
0,9.96,29.58,4.333333333333333,5,14
0,25.27,4.35,1.0833333333333333,4,17
1,6.92,2.5,9.5,4,18
0,8.78,14.8,8.083333333333334,4,4
0,17.4,18.5,6.416666666666667,5,1
0,27.19,14.0,1.4166666666666667,4,57
0,2.08,13.6,1.5,6,62
0,2.19,42.5,1.3333333333333333,6,4
0,10.41,18.3,1.0833333333333333,4,5
0,2.86,41.0,3.3333333333333335,5,36
0,3.3,33.5,2.3333333333333335,6,1
1,15.26,1.5,1.75,4,19
1,10.26,1.9,1.5833333333333335,4,16
0,8.55,14.5,6.333333333333333,5,49
0,10.63,10.0,7.666666666666667,5,14
0,12.93,4.8,1.5833333333333335,4,1
0,8.59,7.7,5.083333333333333,5,6
1,8.12,2.1,7.083333333333333,4,18
0,12.64,1.68,8.416666666666666,4,25
1,9.34,3.38,7.75,4,3
0,8.71,18.98,3.6666666666666665,5,4
0,7.13,4.1,5.5,5,42
1,9.12,0.8,1.5,3,18
0,10.19,29.5,1.0833333333333333,4,5
0,6.69,14.98,6.666666666666667,5,1
0,7.56,9.3,4.666666666666667,5,17
0,10.72,15.3,9.083333333333334,4,1
0,5.89,18.5,4.083333333333333,5,49
1,0.25,8.2,5.416666666666667,5,11
0,7.74,98.0,3.5833333333333335,5,5
1,1.69,4.5,5.333333333333333,5,42
0,4.98,5.3,5.5,5,28
1,4.99,4.2,4.5,5,3
0,7.41,6.0,6.416666666666667,5,23
0,13.0,3.6,1.0833333333333333,4,58
1,7.22,3.0,4.25,5,43
0,2.53,48.0,2.1666666666666665,6,5
0,16.62,13.0,1.0833333333333333,4,57
0,13.2,23.38,7.333333333333333,5,4
0,2.36,7.5,2.6666666666666665,5,42
1,6.89,2.6,8.75,4,17
0,4.97,9.0,2.0,6,23
0,6.95,12.58,6.25,5,17
0,14.35,6.98,1.0833333333333333,4,1
0,7.81,16.68,5.75,5,1
0,11.23,30.9,5.75,5,36
0,11.25,7.3,7.083333333333333,5,19
1,5.93,3.0,3.0833333333333335,5,8
0,1.24,10.6,4.083333333333333,5,19
0,4.85,28.5,3.4166666666666665,5,1
0,3.39,8.9,3.3333333333333335,5,36
0,11.45,3.06,8.5,4,19
0,7.47,7.4,4.083333333333333,5,36
0,8.27,23.8,4.0,5,14
1,6.29,1.28,6.166666666666667,5,61
0,5.94,7.0,5.0,5,28
1,4.61,6.6,4.416666666666667,5,28
0,7.91,11.0,4.0,5,62
0,7.22,10.28,3.3333333333333335,5,36
0,5.5,58.0,3.0833333333333335,5,1
0,2.52,29.5,6.166666666666667,4,4
0,14.28,24.18,8.75,5,36
0,5.63,3.6,9.75,4,17
0,0.77,8.0,1.0,6,42
0,5.15,17.17,3.6666666666666665,5,49
0,5.18,5.2,5.083333333333333,5,16
0,3.69,6.3,3.5,5,42
0,6.23,12.5,8.0,4,4
0,1.14,9.5,1.5833333333333335,6,28
0,6.81,10.5,5.0,5,36
0,2.17,23.5,2.0833333333333335,6,14
0,1.3,8.5,1.5833333333333335,6,28
0,0.36,30.0,0.16666666666666666,6,62
0,1.54,3.08,6.083333333333333,4,28
0,8.21,4.88,6.083333333333333,5,18
0,15.03,5.1,8.083333333333334,4,17
0,6.48,10.9,7.5,4,49
0,2.65,17.8,1.75,6,32
1,18.7,6.98,4.333333333333333,5,37
1,4.99,1.5,5.416666666666667,5,61
0,3.16,6.8,3.3333333333333335,5,42
0,1.59,7.3,2.1666666666666665,6,23
0,1.45,26.8,0.75,6,14
0,5.89,14.9,3.5,5,1
1,11.26,0.88,1.25,4,42
0,15.78,12.8,9.5,4,4
0,6.28,9.2,7.25,5,4
0,9.88,3.5,6.166666666666667,5,8
0,7.88,25.0,3.0833333333333335,5,57
0,11.42,11.3,4.333333333333333,5,49
0,17.19,2.4,9.416666666666666,4,18
0,13.02,13.0,8.666666666666666,4,4
0,4.41,28.0,3.0,5,36
0,9.16,21.0,6.416666666666667,5,57
0,2.55,48.0,1.6666666666666665,6,57
1,4.94,4.0,6.333333333333333,5,28
0,3.31,6.68,2.6666666666666665,6,3
0,1.84,26.8,1.3333333333333333,6,1
0,4.49,43.0,4.666666666666667,5,4
1,4.02,2.5,1.3333333333333333,3,28
0,2.85,12.88,2.0,5,36
0,5.26,16.5,3.3333333333333335,5,19
0,9.79,17.99,8.166666666666666,4,4
0,3.86,7.5,2.6666666666666665,6,42
0,8.14,35.8,5.0,5,5
0,8.51,11.38,2.75,5,17
0,4.2,8.5,2.75,6,28
0,9.56,7.45,6.666666666666667,5,17
0,5.03,39.5,3.0833333333333335,5,14
0,8.35,21.79,4.25,5,57
0,2.98,15.1,5.416666666666667,5,49
0,5.54,11.28,3.6666666666666665,5,32
0,5.34,18.0,4.166666666666667,5,4
0,5.32,7.98,3.0833333333333335,5,36
0,20.1,21.0,5.083333333333333,5,4
1,6.01,7.2,4.5,5,38
1,11.49,1.78,1.0833333333333333,4,19
0,5.92,6.7,5.0,5,18
0,13.78,3.9,1.1666666666666667,4,17
1,1.48,4.3,2.3333333333333335,5,41
0,10.88,9.0,9.666666666666666,4,17
1,7.77,3.0,4.666666666666667,5,12
0,12.05,5.3,1.0833333333333333,4,17
0,24.47,23.0,1.0833333333333333,4,5
0,8.88,4.28,4.416666666666667,5,19
0,9.71,4.28,9.0,5,28
0,9.38,7.2,1.0833333333333333,4,1
0,12.9,12.0,9.666666666666666,4,14
0,0.32,7.2,0.6666666666666666,6,42
0,11.73,15.3,4.25,5,17
0,9.61,15.0,5.166666666666667,5,49
0,12.94,16.0,6.583333333333333,5,17
1,3.21,3.8,5.333333333333333,5,42
1,9.55,2.58,8.166666666666666,4,18
0,10.38,15.98,7.583333333333333,5,14
1,2.25,5.9,1.25,6,28
0,5.88,5.58,5.5,5,28
0,16.28,7.5,1.1666666666666667,4,57
1,2.31,6.1,2.0833333333333335,6,44
0,17.12,8.55,1.3333333333333333,4,57
0,16.7,5.98,1.75,4,1
0,11.93,4.5,9.083333333333334,4,58
0,6.65,12.5,8.416666666666666,4,1
1,8.02,6.3,5.0,5,17
0,7.11,12.68,7.166666666666667,5,1
0,12.05,2.78,7.416666666666667,4,37
0,17.26,16.2,7.083333333333333,4,1
0,7.58,6.5,4.5,5,23
